Season,Episode,Title,Year of Release,IMDB Rating,Arco
1,1,Ore wa Rufi! Kaizoku O ni Naru Otoko Da!,1999,7.8,Romance Dawn Arc
1,2,Daikengo Arawaru! Kaizokugari Roronoa Zor,1999,7.9,Romance Dawn Arc
1,3,Mogan tai Rufi! Nazo no Bishojo wa Dare?,1999,7.8,Romance Dawn Arc
1,4,Rufi no Kako! Akagami no Shankusu Toj,1999,8.4,Orange Town Arc
1,5,Kyofu Nazo no Chikara! Kaizoku Doke Bagi-sencho!,1999,7.6,Orange Town Arc
1,6,Zettai Zetsumei! Mojutsukai Moji VS Rufi!,1999,7.8,Orange Town Arc
1,7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,1999,7.7,Orange Town Arc
1,8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,1999,7.8,Orange Town Arc
1,9,Seigi no usotsuki? Kyaputen Usoppu,2000,7.3,Syrup Village Arc
1,10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,2000,7.5,Syrup Village Arc
1,11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,2000,7.4,Syrup Village Arc
1,12,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,2000,7.8,Syrup Village Arc
1,13,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,2000,7.8,Syrup Village Arc
1,14,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,2000,7.7,Syrup Village Arc
1,15,Kuro o taose! Otoko Usoppu namida no ketsui!,2000,7.6,Syrup Village Arc
1,16,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,2000,7.7,Syrup Village Arc
1,17,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,2000,8.1,Syrup Village Arc
1,18,Anta ga chunjuu! Gaimon to kimyou na nakama,2000,7.1,Syrup Village Arc
1,19,Santouryuu no kako! Zoro to Kuina no chikai!,2000,8.9,Baratie Arc
1,20,Manukarezaru kyaku! Sanji no meshi to Gin on,2000,7.7,Baratie Arc
1,21,Meibutsu kokku! Kaijou resutoran no Sanji,2000,7.8,Baratie Arc
1,22,Saikyou no kaizoku kantai! Teitoku Don Kurîku,2000,7.6,Baratie Arc
1,23,Mamore Baratie! Daikaizoku akaashi no Zefu,2000,7.8,Baratie Arc
1,24,Tama no me no Mihôku! Kenzoku Zoro umi ni chiru,2000,9.1,Baratie Arc
1,25,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,2000,7.6,Baratie Arc
1,26,Zefu to Sanji no yume Maboroshi no ôru burû,2000,8.8,Baratie Arc
1,27,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,2000,7.6,Baratie Arc
1,28,Shinaneeyo! Gekitou Rufi vs Kurîku!,2000,7.7,Baratie Arc
1,29,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,2000,7.9,Baratie Arc
1,30,Tabidachi! Umi no kokku wa Rufi to tomoni,2000,8.3,Baratie Arc
1,31,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,2000,7.7,Arlong Park Arc
1,32,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,2000,7.8,Arlong Park Arc
1,33,Usopp Shisu?! Luffy Jouriku wa Mada?,2000,7.9,Arlong Park Arc
1,34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,2000,7.6,Arlong Park Arc
1,35,Himerareta Kako! Onna Senshi Bell-mere!,2000,8.1,Arlong Park Arc
1,36,Ikinuke! Haha Bellemere to Nami no Kizuna!,2000,8.9,Arlong Park Arc
1,37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,2000,9.1,Arlong Park Arc
1,38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,2000,8.3,Arlong Park Arc
1,39,Luffy Suibotsu! Zoro vs Tako no Hacchan,2000,8.1,Arlong Park Arc
1,40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,2000,8.1,Arlong Park Arc
1,41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,2000,8.1,Arlong Park Arc
1,42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,2000,8.1,Arlong Park Arc
1,43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,2000,8.8,Arlong Park Arc
1,44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,2000,7.9,Arlong Park Arc
1,45,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,2000,7.8,Arlong Park Arc
