Capitulo,Calificacion
1,7.8
2,7.9
3,7.8
4,8.4
5,7.6
6,7.8
7,7.7
8,7.8
9,7.3
10,7.5
11,7.4
12,7.8
13,7.8
14,7.7
15,7.6
16,7.7
17,8.1
18,7.1
19,8.9
20,7.7
21,7.8
22,7.6
23,7.8
24,9.1
25,7.6
26,8.8
27,7.6
28,7.7
29,7.9
30,8.3
31,7.7
32,7.8
33,7.9
34,7.6
35,8.1
36,8.9
37,9.1
38,8.3
39,8.1
40,8.1
41,8.1
42,8.1
43,8.8
44,7.9
45,7.8
46,6.4
47,6.3
48,7.9
49,8.0
50,7.5
51,7.0
52,8.3
53,8.6
54,7.2
55,6.9
56,6.8
57,6.7
58,6.8
59,7.2
60,7.3
61,7.7
62,7.8
63,7.6
64,7.7
65,8.3
66,8.1
67,7.9
68,6.9
69,6.9
70,7.3
71,7.5
72,7.4
73,7.5
74,7.7
75,7.8
76,7.8
77,7.6
78,7.4
79,7.7
80,7.9
81,7.8
82,7.8
83,8.1
84,8.0
85,8.8
86,9.3
87,8.1
88,7.9
89,7.9
90,8.9
91,8.1
92,7.8
93,7.3
94,9.0
95,8.3
96,7.4
97,7.5
98,7.2
99,7.1
100,7.6
101,6.9
102,7.1
103,7.5
104,8.0
105,7.9
106,8.2
107,8.1
108,8.2
109,8.7
110,9.1
111,7.9
112,8.1
113,7.9
114,8.1
115,8.1
116,8.1
117,8.0
118,7.9
119,9.1
120,8.1
121,8.7
122,9.0
123,8.3
124,8.2
125,9.0
126,9.5
127,8.2
128,8.2
129,9.1
130,8.9
131,7.1
132,6.9
133,7.0
134,7.0
135,7.1
136,6.8
137,6.9
138,6.7
139,7.1
140,7.0
141,6.9
142,6.9
143,7.6
144,7.4
145,7.7
146,8.1
147,7.8
148,7.7
149,7.6
150,8.2
151,9.3
152,8.3
153,8.0
154,7.7
155,7.6
156,7.7
157,7.6
158,7.7
159,7.8
160,7.8
161,7.7
162,7.9
163,7.9
164,7.9
165,7.8
166,7.6
167,7.7
168,7.7
169,8.1
170,8.1
171,7.8
172,7.9
173,8.0
174,8.0
