x,y
1,7.8
1,7.9
1,7.8
1,8.4
1,7.6
1,7.8
1,7.7
1,7.8
1,7.3
1,7.5
1,7.4
1,7.8
1,7.8
1,7.7
1,7.6
1,7.7
1,8.1
1,7.1
1,8.9
1,7.7
1,7.8
1,7.6
1,7.8
1,9.1
1,7.6
1,8.8
1,7.6
1,7.7
1,7.9
1,8.3
1,7.7
1,7.8
1,7.9
1,7.6
1,8.1
1,8.9
1,9.1
1,8.3
1,8.1
1,8.1
1,8.1
1,8.1
1,8.8
1,7.9
1,7.8
1,6.4
1,6.3
1,7.9
1,8.0
1,7.5
1,7.0
1,8.3
1,8.6
1,7.2
1,6.9
1,6.8
1,6.7
1,6.8
1,7.2
1,7.3
1,7.7
2,7.8
2,7.6
2,7.7
2,8.3
2,8.1
2,7.9
2,6.9
2,6.9
2,7.3
2,7.5
2,7.4
2,7.5
2,7.7
2,7.8
2,7.8
2,7.6
3,7.4
3,7.7
3,7.9
3,7.8
3,7.8
3,8.1
3,8.0
3,8.8
3,9.3
3,8.1
3,7.9
3,7.9
3,8.9
3,8.1
4,7.8
4,7.3
4,9.0
4,8.3
4,7.4
4,7.5
4,7.2
4,7.1
4,7.6
4,6.9
4,7.1
4,7.5
4,8.0
4,7.9
4,8.2
4,8.1
4,8.2
4,8.7
4,9.1
4,7.9
4,8.1
4,7.9
4,8.1
4,8.1
4,8.1
4,8.0
4,7.9
4,9.1
4,8.1
4,8.7
4,9.0
4,8.3
4,8.2
4,9.0
4,9.5
4,8.2
4,8.2
4,9.1
4,8.9
5,7.1
5,6.9
5,7.0
5,7.0
5,7.1
5,6.8
5,6.9
5,6.7
5,7.1
5,7.0
5,6.9
5,6.9
5,7.6
6,7.4
6,7.7
6,8.1
6,7.8
6,7.7
6,7.6
6,8.2
6,9.3
6,8.3
6,8.0
6,7.7
6,7.6
6,7.7
6,7.6
6,7.7
6,7.8
6,7.8
6,7.7
6,7.9
6,7.9
6,7.9
6,7.8
6,7.6
6,7.7
6,7.7
6,8.1
6,8.1
6,7.8
6,7.9
6,8.0
6,8.0
6,7.9
6,8.1
6,8.1
6,8.6
6,8.3
6,9.0
6,8.3
6,9.0
6,9.0
6,8.1
6,8.7
6,8.0
6,7.9
6,7.9
6,9.0
6,8.1
6,8.2
6,9.1
6,8.0
6,8.0
6,7.9
7,7.3
7,7.5
7,7.3
7,7.6
7,7.7
7,7.5
7,7.5
7,7.3
7,7.5
7,7.5
7,7.7
7,7.5
7,7.4
7,7.6
7,7.4
7,7.6
7,7.8
7,7.3
7,7.6
7,7.1
7,7.1
7,7.3
7,7.4
7,7.7
7,7.4
7,7.3
7,7.0
7,7.3
7,7.1
7,6.8
7,6.8
7,9.0
7,8.3
8,7.7
8,7.8
8,7.8
8,7.8
8,7.8
8,9.0
8,9.3
8,9.5
8,7.9
8,8.1
8,7.9
8,8.0
8,7.8
8,8.2
8,9.1
8,9.0
8,8.8
8,8.1
8,8.1
8,8.2
8,8.3
8,8.9
8,8.9
8,8.0
8,7.9
8,8.1
8,8.1
8,8.0
8,8.2
8,8.3
8,7.6
8,7.9
8,8.1
8,8.7
8,8.1
9,8.2
9,8.1
9,8.0
9,8.1
9,8.2
9,8.2
9,8.9
9,8.2
9,8.3
9,9.2
9,9.3
9,9.0
9,9.0
9,9.6
9,9.3
9,7.0
9,6.7
9,6.7
9,6.7
9,6.7
9,8.1
9,8.0
9,8.1
9,8.1
9,8.3
9,8.2
9,8.7
9,6.2
9,6.0
9,8.0
9,8.2
9,7.9
9,8.3
9,8.2
9,8.7
9,8.3
9,9.3
9,9.2
9,8.2
9,6.3
9,9.1
9,9.0
9,8.2
9,8.4
9,9.1
9,9.5
9,9.1
9,9.0
9,9.6
9,9.0
9,9.2
9,8.3
9,9.2
9,6.5
9,6.3
9,6.8
9,8.1
9,8.1
9,8.1
9,8.3
9,8.2
9,9.2
9,6.9
9,6.5
9,6.6
9,6.9
9,6.7
9,6.7
9,6.7
9,6.6
9,6.8
9,6.8
9,5.7
10,8.3
10,8.1
10,7.8
10,7.9
10,7.9
10,7.8
10,7.8
10,7.7
10,7.5
10,7.8
10,7.8
10,8.0
10,8.0
10,8.0
10,7.8
10,7.9
10,8.2
10,7.5
10,7.9
10,7.9
10,8.0
10,7.8
10,7.7
10,8.0
10,7.9
10,8.2
10,7.8
10,7.5
10,7.8
10,7.8
10,8.2
10,8.0
10,8.1
10,8.1
10,8.2
10,9.0
10,8.9
10,8.5
10,8.2
10,9.1
10,9.6
10,8.2
10,8.1
10,9.2
10,8.2
11,6.7
11,6.7
11,7.5
11,7.7
11,7.7
11,7.7
11,7.9
11,7.9
11,8.0
11,8.5
11,8.6
11,8.5
11,8.4
11,8.6
11,9.5
11,9.4
11,9.0
11,8.9
11,9.3
11,9.0
11,9.1
11,9.2
11,9.4
11,9.6
11,6.2
11,6.2
12,8.1
12,8.3
12,8.3
12,8.4
12,8.8
12,9.0
12,8.9
12,9.0
12,8.9
12,8.9
12,7.8
12,7.5
12,7.8
12,7.8
13,8.0
13,8.1
13,8.0
13,8.0
13,7.1
13,6.7
13,6.8
13,6.8
13,8.0
13,7.9
13,8.1
13,8.3
13,7.9
13,8.3
13,8.3
13,8.2
13,7.9
13,7.6
13,7.8
13,8.1
13,8.3
13,8.3
13,8.3
13,8.1
13,8.5
13,9.1
13,8.1
13,8.3
13,8.8
13,9.3
13,8.2
13,7.4
13,6.9
13,7.5
13,7.4
14,7.4
14,7.2
14,9.0
14,9.1
14,9.3
14,9.1
14,9.3
14,9.2
14,9.3
14,9.4
14,9.4
14,9.3
14,9.1
14,9.3
14,9.1
14,9.2
14,9.2
14,9.4
14,9.3
14,9.2
14,9.2
14,9.3
14,9.2
14,9.4
14,9.5
14,9.5
14,9.6
14,9.6
14,9.6
14,9.4
14,9.3
14,9.5
14,9.5
14,8.9
14,8.9
14,6.2
14,8.8
14,8.7
14,8.4
14,8.6
14,8.4
14,7.9
14,7.8
14,8.3
14,8.3
14,8.3
14,9.1
14,8.6
14,9.0
14,8.4
14,8.4
14,7.6
14,8.0
14,7.8
14,8.1
14,8.0
14,7.6
14,7.5
14,8.0
14,9.2
15,9.2
15,8.6
15,8.4
15,8.3
15,9.3
15,8.9
15,8.4
15,7.7
15,7.8
15,7.8
15,7.8
15,7.6
15,7.5
15,7.7
15,7.4
15,7.5
15,7.5
15,7.7
15,7.5
15,7.9
15,7.9
15,7.8
15,7.6
15,7.8
15,8.2
15,6.3
15,8.1
15,7.7
15,7.5
15,7.9
15,7.8
15,7.8
15,7.9
15,7.4
15,7.4
15,7.4
15,8.1
15,9.1
15,7.9
15,7.7
15,7.6
15,7.4
15,7.3
15,7.5
15,7.5
15,7.2
15,7.2
15,7.4
15,7.9
15,7.7
15,7.6
15,7.7
15,7.5
15,7.9
15,6.9
15,7.7
15,7.6
15,7.6
15,8.1
15,7.2
15,7.2
15,7.2
16,7.7
16,7.5
16,7.3
16,7.4
16,7.3
16,7.7
16,7.8
16,7.8
16,8.3
16,7.8
16,7.4
16,5.9
16,7.5
16,7.3
16,7.7
16,7.8
16,7.5
16,7.5
16,8.0
16,7.6
16,7.7
16,7.4
16,7.5
16,7.6
16,7.8
16,7.6
16,7.5
16,7.5
16,8.1
16,7.7
16,7.7
16,7.5
16,7.5
16,7.7
16,8.8
16,7.8
16,7.9
16,9.1
16,8.1
16,7.7
16,7.8
16,7.9
16,8.0
16,7.8
16,7.7
16,8.3
16,8.1
16,7.1
16,7.1
16,6.9
17,8.6
17,8.5
17,8.6
17,8.4
17,8.4
17,8.5
17,8.5
17,8.6
17,8.5
17,8.6
17,8.4
17,8.0
17,8.0
17,8.9
17,8.9
17,8.5
17,8.0
17,9.1
17,8.2
17,8.2
17,8.9
17,8.5
17,8.5
17,8.1
17,8.1
17,8.5
17,8.9
17,8.4
17,8.2
17,8.5
17,8.7
17,8.7
17,9.2
17,9.2
17,9.5
17,8.2
17,8.1
17,8.5
17,8.6
17,8.4
17,8.4
17,8.7
17,8.5
17,8.5
17,8.4
17,8.6
17,8.9
17,8.9
17,9.3
17,9.4
17,8.9
17,9.0
17,8.7
17,8.2
17,8.7
17,8.5
17,8.7
17,8.7
17,9.0
17,8.5
17,8.6
17,8.1
17,8.2
17,8.9
17,8.1
17,8.0
17,8.7
17,9.0
17,9.2
17,9.5
17,9.3
17,9.1
17,9.2
17,9.2
17,9.4
17,9.3
17,9.4
17,9.6
17,8.8
17,9.3
17,8.5
17,8.7
17,8.7
17,8.9
17,9.1
17,8.5
17,9.1
17,9.1
17,9.1
17,8.9
17,9.5
17,9.1
17,9.1
17,9.3
17,9.5
17,9.1
17,9.3
17,9.5
17,9.1
17,9.4
17,9.1
17,8.4
17,8.1
17,8.7
17,9.4
17,8.2
17,8.9
17,9.2
17,9.0
17,9.1
17,9.3
17,8.5
17,8.4
17,8.1
17,9.2
17,9.2
17,9.3
17,9.1
18,7.1
18,6.7
18,6.9
18,7.1
18,7.4
18,8.1
18,7.7
18,7.8
18,7.7
18,7.8
18,7.9
18,7.8
18,8.4
18,8.4
18,8.3
18,8.6
18,8.9
18,9.0
18,7.8
18,8.5
18,9.2
18,8.4
18,9.0
18,9.2
18,8.1
18,8.1
18,8.2
18,8.1
18,7.5
18,7.9
18,7.3
18,7.5
18,8.2
18,7.4
18,7.5
18,7.6
19,8.7
19,8.6
19,9.1
19,8.8
19,8.7
19,8.4
19,8.7
19,8.7
19,8.1
19,8.2
19,8.7
19,8.7
19,8.5
19,8.5
19,8.7
19,9.0
19,9.0
19,9.0
19,8.8
19,9.2
19,9.3
19,9.6
19,9.2
19,9.4
19,9.1
19,9.6
19,9.3
19,9.3
19,9.3
19,9.3
19,9.2
19,9.1
19,9.3
19,9.3
19,9.6
19,9.4
19,9.4
19,9.3
19,9.1
19,8.6
19,8.9
19,9.1
19,9.5
19,9.1
19,8.6
19,9.0
19,8.7
19,9.1
19,8.7
19,9.4
19,9.6
19,9.3
19,9.2
19,8.7
19,9.2
19,8.8
19,8.9
19,8.7
19,9.1
19,9.1
19,8.7
19,8.5
19,8.7
19,8.7
19,8.7
19,8.7
19,9.5
19,9.5
19,9.2
19,9.3
19,9.0
19,9.2
19,9.0
19,9.5
19,9.2
19,8.7
19,8.2
19,8.5
19,8.3
19,9.3
19,8.8
19,9.1
19,9.0
19,8.7
19,9.0
19,9.5
19,9.4
19,9.5
19,9.5
19,9.2
19,9.3
19,9.1
19,9.1
19,9.2
19,9.5
19,8.9
